"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"BEL00080";"2008-09-30";"00:00";0;"Br-Tot";"0";"";0;"mg/l";"Fair"
"BEL00080";"2019-03-13";"12:00";0.3;"Br-Tot";"0";"";0.05;"mg/l";"Fair"
"BEL00080";"2019-10-24";"12:00";0.3;"Br-Tot";"0";"";0.05;"mg/l";"Fair"
"BEL00080";"2020-03-11";"12:00";0.3;"Br-Tot";"0";"";0.05;"mg/l";"Fair"
"BEL00080";"2020-10-22";"12:00";0.3;"Br-Tot";"0";"";0.05;"mg/l";"Fair"
"CAN00018";"2001-09-25";"13:45";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2001-09-25";"13:55";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2002-01-16";"14:00";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2002-05-01";"12:00";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2002-06-13";"13:50";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2002-07-19";"14:15";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2002-08-14";"17:45";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2002-10-11";"10:15";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2003-02-04";"12:03";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2003-04-09";"11:00";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2003-05-23";"12:50";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2003-06-19";"13:30";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2003-06-19";"13:30";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2004-02-25";"11:30";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2004-06-04";"13:55";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00018";"2004-06-04";"13:55";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-01-10";"16:00";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-01-10";"16:06";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-01-10";"16:11";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-02-23";"13:45";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-03-21";"15:45";0.3;"Br-Dis";"IC-CSC";"";0.09;"mg/l";"Fair"
"CAN00019";"2000-04-07";"09:20";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-04-07";"09:30";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-04-07";"09:30";1;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-04-24";"07:10";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
"CAN00019";"2000-05-08";"06:15";0.3;"Br-Dis";"IC-CSC";"<";0.05;"mg/l";"Fair"
