"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"CAN00018";"2008-10-09";"14:15";0.3;"Ce-Tot";"VMV_1919";"";0.558;"µg/l";"Good"
"CAN00018";"2008-12-17";"14:30";0.3;"Ce-Tot";"VMV_1919";"";0.164;"µg/l";"Good"
"CAN00018";"2009-02-23";"13:40";0.3;"Ce-Tot";"VMV_1919";"";0.087;"µg/l";"Good"
"CAN00018";"2009-05-23";"16:05";0.3;"Ce-Tot";"VMV_1919";"";2.45;"µg/l";"Good"
"CAN00018";"2009-06-25";"09:15";0.3;"Ce-Tot";"VMV_1919";"";0.999;"µg/l";"Good"
"CAN00018";"2009-07-15";"13:30";0.3;"Ce-Tot";"VMV_1919";"";2.08;"µg/l";"Good"
"CAN00018";"2009-10-15";"15:55";0.3;"Ce-Tot";"VMV_1919";"";1.35;"µg/l";"Good"
"CAN00018";"2009-12-16";"11:45";0.3;"Ce-Tot";"VMV_1919";"";0.481;"µg/l";"Good"
"CAN00018";"2010-02-05";"12:15";0.3;"Ce-Tot";"VMV_1919";"";0.238;"µg/l";"Good"
"CAN00018";"2010-04-06";"13:15";0.3;"Ce-Tot";"VMV_3528";"";0.468;"µg/l";"Good"
"CAN00018";"2010-05-28";"14:25";0.3;"Ce-Tot";"VMV_3528";"";1.64;"µg/l";"Good"
"CAN00018";"2010-07-28";"12:50";0.3;"Ce-Tot";"VMV_3528";"";6.59;"µg/l";"Good"
"CAN00018";"2010-10-06";"15:10";0.3;"Ce-Tot";"VMV_3528";"";2.73;"µg/l";"Good"
"CAN00018";"2010-12-09";"14:35";0.3;"Ce-Tot";"VMV_3528";"";0.255;"µg/l";"Good"
"CAN00018";"2011-03-14";"15:15";0.3;"Ce-Tot";"VMV_3528";"";0.217;"µg/l";"Good"
"CAN00018";"2011-06-02";"16:55";0.3;"Ce-Tot";"VMV_3528";"";1;"µg/l";"Good"
"CAN00018";"2011-07-21";"16:00";0.3;"Ce-Tot";"VMV_3528";"";1.79;"µg/l";"Good"
"CAN00018";"2011-09-29";"15:15";0.3;"Ce-Tot";"VMV_3528";"";1.2;"µg/l";"Good"
"CAN00018";"2011-12-02";"12:45";0.3;"Ce-Tot";"VMV_3528";"";0.394;"µg/l";"Good"
"CAN00018";"2012-01-26";"13:05";0.3;"Ce-Tot";"VMV_3528";"";0.09;"µg/l";"Fair"
"CAN00018";"2012-04-19";"12:45";0.3;"Ce-Tot";"VMV_1919";"";0.356;"µg/l";"Fair"
"CAN00018";"2012-05-28";"13:20";0.3;"Ce-Tot";"VMV_1919";"";0.658;"µg/l";"Fair"
"CAN00018";"2012-07-19";"12:30";0.3;"Ce-Tot";"VMV_1919";"";0.894;"µg/l";"Fair"
"CAN00018";"2012-07-29";"13:30";0.3;"Ce-Tot";"VMV_1919";"";1.48;"µg/l";"Fair"
"CAN00018";"2012-10-17";"15:15";0.3;"Ce-Tot";"VMV_1919";"";0.664;"µg/l";"Fair"
"CAN00018";"2012-12-06";"12:45";0.3;"Ce-Tot";"VMV_1919";"";0.217;"µg/l";"Fair"
"CAN00018";"2013-01-31";"12:50";0.3;"Ce-Tot";"VMV_1919";"";0.847;"µg/l";"Fair"
"CAN00018";"2013-04-30";"13:05";0.3;"Ce-Tot";"VMV_1919";"";0.131;"µg/l";"Fair"
"CAN00018";"2013-06-04";"14:00";0.3;"Ce-Tot";"VMV_3528";"";1.33;"µg/l";"Fair"
