Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
1112TTCETA;0;µg/l;1,1,1,2-Tetrachloroethane;;;;;Undefined Analysis Method
111TCA;0;µg/l;1,1,1-Trichloroethane;;;;;Undefined Analysis Method
111TCA;APAT5150_2003;µg/l;1,1,1-Trichloroethane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5150 (2003)";Chromatography;APAT 2003;APAT 2003;
111TCA;APAT5450_2003;µg/l;1,1,1-Trichloroethane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
111TCA;EPA8260B;µg/l;1,1,1-Trichloroethane;Volatile Organic Compounds by Gas Chromatography/Mass Spectrometry (GC/MS);Chromatography;8260B;EPA 1996;
111TCA;GS-MS;µg/l;1,1,1-Trichloroethane;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
111TCA;ISO10301_1997;µg/l;1,1,1-Trichloroethane;Determination of highly volatile halogenated hydrocarbons in water - Gas-chromatographic methods;Chromatography;ISO 1997;ISO 1997;
111TCA;ISO6468_1996;µg/l;1,1,1-Trichloroethane;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
111TCA;MI_C_04_005REV0_2000;µg/l;1,1,1-Trichloroethane;analisi - MI/C/04/005 REV 0: 2000 - ORGANOALOGENATI;;;;
111TCA;P-T-GC-MS;µg/l;1,1,1-Trichloroethane;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
1122TTCETA;0;µg/l;1,1,2,2-Tetrachloroethane;;;;;Undefined Analysis Method
112TCA;0;µg/l;1,1,2-Trichloroethane;;;;;Undefined Analysis Method
112TCA;APAT5450_2003;µg/l;1,1,2-Trichloroethane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
112TCA;GS-MS;µg/l;1,1,2-Trichloroethane;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
11DCA;0;µg/l;1,1-Dichloroethane;;;;;Undefined Analysis Method
11DCA;APAT5450_2003;µg/l;1,1-Dichloroethane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
11DCA;GS-MS;µg/l;1,1-Dichloroethane;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
11DCA;P-T-GC-MS;µg/l;1,1-Dichloroethane;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
11DCE;0;µg/l;1,1-Dichloroethene;;;;;Undefined Analysis Method
11DCE;APAT5450_2003;µg/l;1,1-Dichloroethene;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
11DCE;GS-MS;µg/l;1,1-Dichloroethene;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
123TCBZ;0;µg/l;1,2,3-Trichlorobenzene;;;;;Undefined Analysis Method
123TCBZ;APAT5450_2003;µg/l;1,2,3-Trichlorobenzene;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
123TCBZ;EPA8260B;µg/l;1,2,3-Trichlorobenzene;Volatile Organic Compounds by Gas Chromatography/Mass Spectrometry (GC/MS);Chromatography;8260B;EPA 1996;
123TCBZ;ISO6468_1996;µg/l;1,2,3-Trichlorobenzene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
123TCBZ;P-T-GC-MS;µg/l;1,2,3-Trichlorobenzene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
123TCPA;0;µg/l;1,2,3-Trichloropropane;;;;;Undefined Analysis Method
123TCPA;P-T-GC-MS;µg/l;1,2,3-Trichloropropane;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
124TCBZ;0;µg/l;1,2,4-Trichlorobenzene;;;;;Undefined Analysis Method
12DCPA;0;µg/l;1,2-Dichloropropane;;;;;Undefined Analysis Method
12DCPA;APAT5450_2003;µg/l;1,2-Dichloropropane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
12DCPA;GS-MS;µg/l;1,2-Dichloropropane;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
12DCPA;P-T-GC-MS;µg/l;1,2-Dichloropropane;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
135TCBZ;0;µg/l;1,3,5-Trichlorobenzene;;;;;Undefined Analysis Method
1CLNAPHTHALENE;0;µg/l;1-Chloronaphthalene;;;;;Undefined Analysis Method
1MNPT;0;µg/l;1-Methylnaphthalene;;;;;Undefined Analysis Method
1MNPT;VMV_2863;ng/l;1-Methylnaphthalene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
23DCP;0;µg/l;2,3-Dichlorophenol;;;;;Undefined Analysis Method
245T;0;µg/l;(2,4,5-Trichlorophenoxy)acetic acid;;;;;Undefined Analysis Method
245T;VMV_247;ng/l;(2,4,5-Trichlorophenoxy)acetic acid;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
245T;VMV_2865;ng/l;(2,4,5-Trichlorophenoxy)acetic acid;Analysis of acidic herbicides as PFBB esters by GC-ECD.;Chromatography;VMV Method;VMV Method;
245T;VMV_3002;ng/l;(2,4,5-Trichlorophenoxy)acetic acid;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
245TCPHL;0;µg/l;2,4,5-Trichlorophenol;;;;;Undefined Analysis Method
245TP;0;µg/l;2-(2,4,5-Trichlorophenoxy)propanoic acid;;;;;Undefined Analysis Method
245TP;VMV_247;ng/l;2-(2,4,5-Trichlorophenoxy)propanoic acid;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
245TP;VMV_2865;ng/l;2-(2,4,5-Trichlorophenoxy)propanoic acid;Analysis of acidic herbicides as PFBB esters by GC-ECD.;Chromatography;VMV Method;VMV Method;
245TP;VMV_3002;ng/l;2-(2,4,5-Trichlorophenoxy)propanoic acid;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
246TCPHL;0;µg/l;2,4,6-Trichlorophenol;;;;;Undefined Analysis Method
24D;0;µg/l;2,4-Dichlorophenoxyacetic Acid;;;;;Undefined Analysis Method
24D;APAT5050_2003;µg/l;2,4-Dichlorophenoxyacetic Acid;Urea herbicides (LLE or SPE + HPLC-UV);Chromatography;APAT 2003;APAT 2003;
24D;APAT5060_2003;µg/l;2,4-Dichlorophenoxyacetic Acid;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
24D;VMV_247;ng/l;2,4-Dichlorophenoxyacetic Acid;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
24D;VMV_2865;ng/l;2,4-Dichlorophenoxyacetic Acid;Analysis of acidic herbicides as PFBB esters by GC-ECD.;Chromatography;VMV Method;VMV Method;
24D;VMV_3002;ng/l;2,4-Dichlorophenoxyacetic Acid;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
24D;VMV_303;ng/l;2,4-Dichlorophenoxyacetic Acid;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
24D;VMV_3216;ng/l;2,4-Dichlorophenoxyacetic Acid;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
24DB;0;µg/l;4-(2,4-dichlorophenoxy)butanoic acid;;;;;Undefined Analysis Method
24DB;VMV_2865;ng/l;4-(2,4-dichlorophenoxy)butanoic acid;Analysis of acidic herbicides as PFBB esters by GC-ECD.;Chromatography;VMV Method;VMV Method;
24DB;VMV_287;ng/l;4-(2,4-dichlorophenoxy)butanoic acid;Analysis of acidic herbicides by SPE and LC-MS/MS.;Chromatography;VMV Method;VMV Method;
24DB;VMV_3002;ng/l;4-(2,4-dichlorophenoxy)butanoic acid;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
24DCP;0;µg/l;2,4-Diclorophenol;;;;;Undefined Analysis Method
24DDD;0;µg/l;2,4'-DDD;;;;;Undefined Analysis Method
