Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
1112TTCETA;Tetrachloroethane;1,1,1,2-Tetrachloroethane;/Chemical/Organic/Halocarbon;211-135-1;630-20-6;34024;1,1,1,2-Tetrachloroethane is a chlorinated hydrocarbon. It is a colorless liquid with a sweet chloroform-like odor. It is used as a solvent and in the production of wood stains and varnishes. (source: https://en.wikipedia.org/wiki/1,1,1,2-Tetrachloroethane
111TCA;Methyl Chloroform;1,1,1-Trichloroethane;/Chemical/Organic/Volatile Organic Compound;200-756-3;71-55-6;36015;C2H3Cl3 | A chloroalkane also known as methyl chloroform. This colourless, sweet-smelling liquid was once produced industrially in large quantities for use as a solvent. It is regulated by the Montreal Protocol as an ozone-depleting substance and its use i
1122TTCETA;Tetrachloroethane;1,1,2,2-Tetrachloroethane;/Chemical/Organic/Halocarbon;201-197-8;79-34-5;36026;1,1,2,2-Tetrachloroethane is a chlorinated derivative of ethane. It has the highest solvent power of any chlorinated hydrocarbon. As a refrigerant, it is used under the name R-130. It was once widely used as a solvent and as an intermediate in the industri
112TCA;1,1,2-TCA;1,1,2-Trichloroethane;/Chemical/Organic/Volatile Organic Compound;201-166-9;79-00-5;36018;C2H3Cl3 | An organochloride solvent. It is used as a solvent and as an intermediate in the synthesis of 1,1-dichloroethane. 1,1,2-TCA is a central nervous system depressant and inhalation of vapors may cause dizziness, drowsiness, headache, nausea, shortne
11DCA;1,1-DCA;1,1-Dichloroethane;/Chemical/Organic/Volatile Organic Compound;200-863-5;75-34-3;81599;CH3CHCl2 | A colorless oily liquid with a chloroform-like odor. It is not easily soluble in water. It is mainly used as a feedstock in chemical synthesisused, and also as a solvent for plastics, oils and fats, as a degreaser, as a fumigant in insecticide s
11DCE;Chloroethene;1,1-Dichloroethene;/Chemical/Organic/Halocarbon;200-864-0;75-35-4;34031;C2H2Cl2 | A colorless liquid with a sharp odor used as a comonomer in the polymerization of vinyl chloride, acrylonitrile, and acrylates. The health effects from exposure to 1,1-DCE are primarily on the central nervous system and considered a potential occ
123TCBZ;Trichlorobenzene;1,2,3-Trichlorobenzene;/Chemical/Organic/Volatile Organic Compound;201-757-1;87-61-6;35289;vic-Trichlorobenzene
123TCPA;Allyltrichlorid;1,2,3-Trichloropropane;/Chemical/Organic/POP;202-486-1;96-18-4;34036;C3H5Cl3 | Historically, TCP has been used as a paint or varnish remover, a cleaning and degreasing agent, and was an impurity in certain pesticides. It is also used as a chemical intermediate in the process of making chemicals, such as hexafluoropropylene 
124TCBZ;Trichlorobenzene;1,2,4-Trichlorobenzene;/Chemical/Organic/Volatile Organic Compound;204-428-0;120-82-1;28222;unsym-Trichlorobenzene | Aside from its use as a solvent, this compound is a useful precursor to dye and pesticides. Animal studies have shown that 1,2,4-trichlorobenzene affects the liver and kidney, and is possibly a teratogen. (source: https://en.wikipe
12DCPA;Propylene Dichloride;1,2-Dichloropropane;/Chemical/Organic/Volatile Organic Compound;201-152-2;78-87-5;82163;C3H6Cl2 | 1,2-Dichloropropane is an intermediate in the production of perchloroethylene and other chlorinated chemicals. It was once used as a soil fumigant, chemical intermediate, as well as an industrial solvent and was found in paint strippers, varnishe
