"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"CAN00018";"2001-09-25";"13:45";0.3;"Ga-Ext";"VMV_2817";"";0.671;"µg/l";"Good"
"CAN00018";"2002-01-16";"14:00";0.3;"Ga-Ext";"VMV_2817";"";0.132;"µg/l";"Good"
"CAN00018";"2002-05-01";"12:00";0.3;"Ga-Ext";"VMV_2817";"";0.245;"µg/l";"Good"
"CAN00018";"2002-07-19";"14:15";0.3;"Ga-Ext";"VMV_2817";"";1.37;"µg/l";"Good"
"CAN00018";"2002-08-14";"17:45";0.3;"Ga-Ext";"VMV_2817";"";2.08;"µg/l";"Good"
"CAN00018";"2002-10-11";"10:15";0.3;"Ga-Ext";"VMV_2817";"";1.07;"µg/l";"Good"
"CAN00018";"2003-02-04";"12:03";0.3;"Ga-Ext";"VMV_2817";"";0.243;"µg/l";"Good"
"CAN00018";"2003-04-09";"11:00";0.3;"Ga-Tot";"VMV_1919";"";0.25;"µg/l";"Good"
"CAN00018";"2003-05-23";"12:50";0.3;"Ga-Tot";"VMV_1919";"";0.256;"µg/l";"Good"
"CAN00018";"2003-06-19";"13:30";0.3;"Ga-Tot";"VMV_1919";"";0.681;"µg/l";"Good"
"CAN00018";"2004-02-25";"11:30";0.3;"Ga-Tot";"VMV_1919";"";0.27;"µg/l";"Good"
"CAN00018";"2004-06-04";"13:55";0.3;"Ga-Tot";"VMV_1919";"";0.583;"µg/l";"Good"
"CAN00018";"2004-08-18";"13:50";0.3;"Ga-Tot";"VMV_1919";"";2.74;"µg/l";"Good"
"CAN00018";"2004-10-26";"12:50";0.3;"Ga-Tot";"VMV_1919";"";0.905;"µg/l";"Good"
"CAN00018";"2005-01-20";"12:40";0.3;"Ga-Tot";"VMV_1919";"";0.326;"µg/l";"Good"
"CAN00018";"2005-05-17";"10:45";0.3;"Ga-Tot";"VMV_1919";"";0.4;"µg/l";"Good"
"CAN00018";"2005-07-15";"14:20";0.3;"Ga-Tot";"VMV_1919";"";0.666;"µg/l";"Good"
"CAN00018";"2005-09-08";"15:55";0.3;"Ga-Tot";"VMV_1919";"";1.13;"µg/l";"Good"
"CAN00018";"2006-02-03";"12:15";0.3;"Ga-Tot";"VMV_1919";"";0.194;"µg/l";"Good"
"CAN00018";"2006-04-19";"16:00";0.3;"Ga-Tot";"VMV_1919";"";0.293;"µg/l";"Good"
"CAN00018";"2006-06-20";"16:30";0.3;"Ga-Tot";"VMV_1919";"";0.672;"µg/l";"Good"
"CAN00018";"2006-08-17";"15:00";0.3;"Ga-Tot";"VMV_1919";"";0.647;"µg/l";"Good"
"CAN00018";"2006-10-11";"14:40";0.3;"Ga-Tot";"VMV_1919";"";4.04;"µg/l";"Good"
"CAN00018";"2006-12-13";"13:45";0.3;"Ga-Tot";"VMV_1919";"";0.209;"µg/l";"Good"
"CAN00018";"2007-03-13";"12:05";0.3;"Ga-Tot";"VMV_1919";"";0.11;"µg/l";"Good"
"CAN00018";"2007-05-31";"14:20";0.3;"Ga-Tot";"VMV_1919";"";0.372;"µg/l";"Good"
"CAN00018";"2007-07-18";"13:35";0.3;"Ga-Tot";"VMV_1919";"";0.976;"µg/l";"Good"
