"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"CAN00061";"2000-03-07";"12:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2000-06-13";"13:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2000-09-20";"13:20";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2000-12-05";"13:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2001-03-05";"12:40";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2001-06-18";"12:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2001-09-17";"12:40";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2001-12-11";"12:35";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2002-03-05";"13:05";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2002-06-11";"12:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2002-09-17";"08:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2002-12-10";"12:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2003-03-04";"12:35";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2003-06-10";"08:35";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2003-09-16";"08:20";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2003-12-02";"12:40";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2004-03-02";"13:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2004-06-08";"08:10";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2004-09-21";"08:25";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2004-12-07";"12:35";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2005-03-08";"12:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2005-06-14";"08:40";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2005-09-20";"08:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2005-12-06";"12:10";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-01-17";"12:05";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-02-13";"11:50";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-03-14";"12:05";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-04-25";"11:25";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-05-16";"13:20";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-06-20";"13:25";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-07-10";"12:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-08-22";"12:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-09-12";"09:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-10-24";"09:40";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-11-07";"08:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2006-12-05";"08:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-01-10";"09:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-02-07";"09:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-03-14";"09:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-04-18";"09:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-05-30";"09:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-06-05";"16:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-07-09";"18:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-08-13";"18:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-09-17";"18:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-10-29";"17:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-11-19";"17:50";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2007-12-10";"17:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-01-28";"17:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-02-12";"15:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-03-11";"14:40";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-04-21";"18:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-05-26";"17:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-06-16";"17:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-07-14";"17:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-08-25";"18:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-09-22";"17:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-10-22";"17:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-11-03";"17:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2008-12-08";"18:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-01-12";"15:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-02-17";"16:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-03-17";"16:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-04-20";"17:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-05-13";"18:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-06-15";"18:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-07-02";"18:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-08-17";"18:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-09-14";"18:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-10-26";"18:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-11-02";"18:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2009-12-03";"17:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-01-25";"19:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-02-06";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-03-15";"17:55";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-04-13";"12:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-05-17";"18:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-06-21";"19:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-07-19";"19:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-08-19";"18:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-09-22";"10:50";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-10-07";"18:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-11-09";"19:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2010-12-15";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-01-12";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-02-22";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-04-13";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-05-04";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-06-08";"09:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-07-06";"08:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-08-31";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-09-22";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-10-19";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-11-09";"09:05";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2011-12-07";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-01-25";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-02-08";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-03-21";"14:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-04-11";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-05-09";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-06-21";"12:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-07-19";"12:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-08-02";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-09-27";"11:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-10-18";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-11-27";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2012-12-11";"10:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-01-15";"10:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-02-12";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-03-12";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-04-03";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-05-01";"09:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-06-18";"08:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-07-03";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-08-01";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-09-04";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-10-09";"11:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-11-05";"15:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2013-12-03";"10:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-01-15";"09:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-02-05";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-03-05";"10:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-04-09";"11:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-05-14";"10:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-06-25";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-07-15";"18:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-08-06";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-09-17";"09:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-10-08";"10:45";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-11-04";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2014-12-02";"10:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-01-07";"10:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-02-04";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-03-11";"09:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-04-08";"10:30";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-05-06";"10:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-06-09";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-07-08";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-08-12";"10:15";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
"CAN00061";"2015-09-09";"11:00";0.3;"OH";"VMV_351";NA;0;"mg/l";"Fair"
