"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"CAN00018";"2008-10-09";"14:15";0.3;"Nb-Tot";"VMV_1919";"";0.069;"µg/l";"Good"
"CAN00018";"2008-12-17";"14:30";0.3;"Nb-Tot";"VMV_1919";"";0.024;"µg/l";"Good"
"CAN00018";"2009-02-23";"13:40";0.3;"Nb-Tot";"VMV_1919";"";0.01;"µg/l";"Good"
"CAN00018";"2009-05-23";"16:05";0.3;"Nb-Tot";"VMV_1919";"";0.157;"µg/l";"Good"
"CAN00018";"2009-06-25";"09:15";0.3;"Nb-Tot";"VMV_1919";"";0.086;"µg/l";"Good"
"CAN00018";"2009-07-15";"13:30";0.3;"Nb-Tot";"VMV_1919";"";0.094;"µg/l";"Good"
"CAN00018";"2009-10-15";"15:55";0.3;"Nb-Tot";"VMV_1919";"";0.146;"µg/l";"Good"
"CAN00018";"2009-12-16";"11:45";0.3;"Nb-Tot";"VMV_1919";"";0.087;"µg/l";"Good"
"CAN00018";"2010-02-05";"12:15";0.3;"Nb-Tot";"VMV_1919";"";0.042;"µg/l";"Good"
"CAN00018";"2010-04-06";"13:15";0.3;"Nb-Tot";"VMV_3528";"";0.049;"µg/l";"Good"
"CAN00018";"2010-05-28";"14:25";0.3;"Nb-Tot";"VMV_3528";"";0.159;"µg/l";"Good"
"CAN00018";"2010-07-28";"12:50";0.3;"Nb-Tot";"VMV_3528";"";0.186;"µg/l";"Good"
"CAN00018";"2010-10-06";"15:10";0.3;"Nb-Tot";"VMV_3528";"";0.107;"µg/l";"Good"
"CAN00018";"2010-12-09";"14:35";0.3;"Nb-Tot";"VMV_3528";"";0.048;"µg/l";"Good"
"CAN00018";"2011-03-14";"15:15";0.3;"Nb-Tot";"VMV_3528";"";0.033;"µg/l";"Good"
"CAN00018";"2011-06-02";"16:55";0.3;"Nb-Tot";"VMV_3528";"";0.101;"µg/l";"Good"
"CAN00018";"2011-07-21";"16:00";0.3;"Nb-Tot";"VMV_3528";"";0.066;"µg/l";"Good"
"CAN00018";"2011-09-29";"15:15";0.3;"Nb-Tot";"VMV_3528";"";0.138;"µg/l";"Good"
"CAN00018";"2011-12-02";"12:45";0.3;"Nb-Tot";"VMV_3528";"";0.068;"µg/l";"Good"
"CAN00018";"2012-01-26";"13:05";0.3;"Nb-Tot";"VMV_3528";"";0.013;"µg/l";"Fair"
"CAN00018";"2012-04-19";"12:45";0.3;"Nb-Tot";"VMV_1919";"";0.027;"µg/l";"Fair"
"CAN00018";"2012-05-28";"13:20";0.3;"Nb-Tot";"VMV_1919";"";0.064;"µg/l";"Fair"
"CAN00018";"2012-07-19";"12:30";0.3;"Nb-Tot";"VMV_1919";"";0.074;"µg/l";"Fair"
"CAN00018";"2012-07-29";"13:30";0.3;"Nb-Tot";"VMV_1919";"";0.089;"µg/l";"Fair"
"CAN00018";"2012-10-17";"15:15";0.3;"Nb-Tot";"VMV_1919";"";0.08;"µg/l";"Fair"
"CAN00018";"2012-12-06";"12:45";0.3;"Nb-Tot";"VMV_1919";"";0.042;"µg/l";"Fair"
"CAN00018";"2013-01-31";"12:50";0.3;"Nb-Tot";"VMV_1919";"";0.087;"µg/l";"Fair"
"CAN00018";"2013-04-30";"13:05";0.3;"Nb-Tot";"VMV_1919";"";0.016;"µg/l";"Fair"
"CAN00018";"2013-06-04";"14:00";0.3;"Nb-Tot";"VMV_3528";"";0.142;"µg/l";"Fair"
"CAN00018";"2013-07-04";"13:43";0.3;"Nb-Tot";"VMV_3528";"";0.09;"µg/l";"Fair"
"CAN00018";"2013-12-20";"12:30";0.3;"Nb-Tot";"VMV_3528";"";0.049;"µg/l";"Fair"
"CAN00018";"2014-02-05";"15:00";0.3;"Nb-Tot";"VMV_3528";"";0.022;"µg/l";"Fair"
"CAN00018";"2014-04-10";"12:30";0.3;"Nb-Tot";"VMV_3528";"";0.011;"µg/l";"Fair"
"CAN00018";"2014-05-14";"14:45";0.3;"Nb-Tot";"VMV_3528";"";0.084;"µg/l";"Fair"
"CAN00018";"2014-07-09";"13:40";0.3;"Nb-Tot";"VMV_3528";"";0.01;"µg/l";"Fair"
"CAN00018";"2014-09-26";"15:00";0.3;"Nb-Tot";"VMV_3528";"";0.132;"µg/l";"Fair"
"CAN00018";"2014-12-11";"12:35";0.3;"Nb-Tot";"VMV_3528";"";0.079;"µg/l";"Fair"
"CAN00018";"2015-02-04";"14:45";0.3;"Nb-Tot";"VMV_3528";"";0.02;"µg/l";"Fair"
"CAN00018";"2015-04-01";"13:30";0.3;"Nb-Tot";"VMV_3528";"";0.015;"µg/l";"Fair"
"CAN00018";"2015-06-05";"13:30";0.3;"Nb-Tot";"VMV_3528";"";0.079;"µg/l";"Fair"
"CAN00018";"2015-09-10";"12:55";0.3;"Nb-Tot";"VMV_3528";"";0.111;"µg/l";"Fair"
"CAN00018";"2016-05-26";"13:36";0.3;"Nb-Tot";"VMV_3528";"";0.044;"µg/l";"Fair"
"CAN00018";"2016-12-02";"13:59";0.3;"Nb-Tot";"VMV_3528";"";0.036;"µg/l";"Fair"
"CAN00018";"2017-02-09";"12:43";0.3;"Nb-Tot";"VMV_3528";"";0.009;"µg/l";"Fair"
"CAN00018";"2017-05-26";"13:56";0.3;"Nb-Tot";"VMV_3528";"";0.052;"µg/l";"Fair"
"CAN00018";"2017-09-06";"13:25";0.3;"Nb-Tot";"VMV_3528";"";0.082;"µg/l";"Fair"
"CAN00018";"2018-02-21";"11:35";0.3;"Nb-Tot";"VMV_3528";"";0.013;"µg/l";"Fair"
"CAN00018";"2018-03-29";"00:00";0.3;"Nb-Tot";"VMV_3528";"";0.007;"µg/l";"Fair"
"CAN00018";"2018-05-25";"12:00";0.3;"Nb-Tot";"VMV_3528";"";0.114;"µg/l";"Fair"
"CAN00018";"2018-08-06";"14:05";0.3;"Nb-Tot";"VMV_3528";"";0.137;"µg/l";"Fair"
"CAN00018";"2018-09-17";"11:45";0.3;"Nb-Tot";"VMV_3528";"";0.085;"µg/l";"Fair"
"CAN00018";"2018-12-06";"10:50";0.3;"Nb-Tot";"VMV_3528";"";0.034;"µg/l";"Fair"
"CAN00018";"2019-02-11";"12:45";0.3;"Nb-Tot";"VMV_3528";"";0.057;"µg/l";"Fair"
"CAN00018";"2019-03-19";"12:30";0.3;"Nb-Tot";"VMV_3528";"";0.083;"µg/l";"Fair"
"CAN00018";"2019-05-13";"12:40";0.3;"Nb-Tot";"VMV_3528";"";0.072;"µg/l";"Fair"
"CAN00018";"2019-06-12";"00:00";0.3;"Nb-Tot";"VMV_3528";"";0.073;"µg/l";"Fair"
"CAN00019";"2008-08-23";"09:30";0.3;"Nb-Tot";"VMV_1919";"";0.004;"µg/l";"Good"
"CAN00019";"2008-09-15";"13:00";0.3;"Nb-Tot";"VMV_1919";"";0.004;"µg/l";"Good"
"CAN00019";"2008-09-29";"14:05";0.3;"Nb-Tot";"VMV_1919";"";0.004;"µg/l";"Good"
"CAN00019";"2008-10-14";"14:00";0.3;"Nb-Tot";"VMV_1919";"";0.005;"µg/l";"Good"
"CAN00019";"2008-11-08";"14:00";0.3;"Nb-Tot";"VMV_1919";"";0.003;"µg/l";"Good"
"CAN00019";"2008-11-22";"10:30";0.3;"Nb-Tot";"VMV_1919";"";0.001;"µg/l";"Good"
