"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"AUT00007";"2004-01-20";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-02-18";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-03-18";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-04-21";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-06-01";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-06-22";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-07-27";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-08-23";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-09-22";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-10-20";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-11-23";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2004-12-15";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-02-01";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-02-23";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-03-16";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-04-12";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-05-03";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-06-15";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-07-18";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-08-16";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-09-12";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-10-17";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-11-22";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
"AUT00007";"2005-11-29";"00:00";0;"HC-Tot";"0";"<";20;"µg/l";"Fair"
