"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"AUT00057";"2017-12-04";"12:00";0.3;"SMX";0;NA;0.001;"µg/l";"Fair"
"AUT00057";"2017-12-04";"12:00";0.3;"TMP";0;NA;0.00066;"µg/l";"Fair"
"AUT00057";"2018-04-03";"12:00";0.3;"SMX";0;NA;0.001;"µg/l";"Fair"
"AUT00057";"2018-04-03";"12:00";0.3;"TMP";0;NA;0.00067;"µg/l";"Fair"
"AUT00062";"2016-09-28";"12:00";0.3;"AZITHROMYCIN";0;NA;0.09;"µg/l";"Fair"
"AUT00062";"2016-09-28";"12:00";0.3;"DICLOFENAC";0;NA;0.02;"µg/l";"Fair"
"AUT00062";"2016-09-28";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2017-07-20";"12:00";0.3;"AZITHROMYCIN";0;NA;0.09;"µg/l";"Fair"
"AUT00062";"2017-07-20";"12:00";0.3;"DICLOFENAC";0;NA;0.017;"µg/l";"Fair"
"AUT00062";"2017-07-20";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2017-12-05";"12:00";0.3;"SMX";0;NA;0.0143;"µg/l";"Fair"
"AUT00062";"2017-12-05";"12:00";0.3;"TMP";0;NA;0.0025;"µg/l";"Fair"
"AUT00062";"2017-12-15";"12:00";0.3;"AZITHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2017-12-15";"12:00";0.3;"AZITHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2017-12-15";"12:00";0.3;"DICLOFENAC";0;NA;0.06;"µg/l";"Fair"
"AUT00062";"2017-12-15";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2017-12-15";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2018-04-05";"12:00";0.3;"AZITHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2018-04-05";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00062";"2018-04-17";"12:00";0.3;"SMX";0;NA;0.007;"µg/l";"Fair"
"AUT00062";"2018-04-17";"12:00";0.3;"TMP";0;NA;0.0047;"µg/l";"Fair"
"AUT00065";"2018-02-20";"12:00";0.3;"SMX";0;NA;0.13;"µg/l";"Fair"
"AUT00065";"2018-02-20";"12:00";0.3;"TMP";0;NA;0.012;"µg/l";"Fair"
"AUT00065";"2018-04-26";"12:00";0.3;"SMX";0;NA;0.069;"µg/l";"Fair"
"AUT00065";"2018-04-26";"12:00";0.3;"TMP";0;NA;0.0053;"µg/l";"Fair"
"AUT00067";"2019-08-01";"12:00";0.3;"AZITHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00067";"2019-08-01";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00073";"2017-12-04";"12:00";0.3;"AZITHROMYCIN";0;NA;0.017;"µg/l";"Fair"
"AUT00073";"2017-12-04";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00073";"2018-04-03";"12:00";0.3;"AZITHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00073";"2018-04-03";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00073";"2019-08-01";"12:00";0.3;"AZITHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"AUT00073";"2019-08-01";"12:00";0.3;"ERYTHROMYCIN";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0247;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"DICLOFENAC";0;NA;0.062;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"NAPROXEN";0;NA;0.033;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"SMX";0;NA;0.0145;"µg/l";"Fair"
"BEL00081";"2019-01-28";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0156;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"SMX";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00081";"2019-03-26";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-03-26";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00081";"2019-03-26";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0148;"µg/l";"Fair"
"BEL00081";"2019-03-26";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
