"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"GRC00022";"2013-06-12";"12:00";0.3;"Phyt-B";0;NA;207.648530602455;"mg/m³";"Pending review"
"GRC00022";"2013-07-23";"12:00";0.3;"Phyt-B";0;NA;412.707090377808;"mg/m³";"Pending review"
"GRC00022";"2013-08-21";"12:00";0.3;"Phyt-B";0;NA;1186.34486198425;"mg/m³";"Pending review"
"GRC00022";"2013-09-25";"12:00";0.3;"Phyt-B";0;NA;1628.62181663513;"mg/m³";"Pending review"
"GRC00022";"2014-06-17";"12:00";0.3;"Phyt-B";0;NA;1924.72052574158;"mg/m³";"Pending review"
"GRC00022";"2014-07-15";"12:00";0.3;"Phyt-B";0;NA;187.944024801254;"mg/m³";"Pending review"
"GRC00022";"2014-09-02";"12:00";0.3;"Phyt-B";0;NA;669.336795806885;"mg/m³";"Pending review"
"GRC00022";"2015-06-10";"12:00";0.3;"Phyt-B";0;NA;1003.25655937195;"mg/m³";"Pending review"
"GRC00022";"2015-06-23";"12:00";0.3;"Phyt-B";0;NA;302.30838060379;"mg/m³";"Pending review"
"GRC00022";"2015-07-31";"12:00";0.3;"Phyt-B";0;NA;5045.51601409912;"mg/m³";"Pending review"
"GRC00022";"2015-08-19";"12:00";0.3;"Phyt-B";0;NA;2668.60222816467;"mg/m³";"Pending review"
"GRC00022";"2015-08-27";"12:00";0.3;"Phyt-B";0;NA;14624.6538162231;"mg/m³";"Pending review"
"GRC00022";"2015-09-16";"12:00";0.3;"Phyt-B";0;NA;301.423043012619;"mg/m³";"Pending review"
"GRC00022";"2015-10-06";"12:00";0.3;"Phyt-B";0;NA;424.575626850128;"mg/m³";"Pending review"
"GRC00059";"2013-04-25";"12:00";0.3;"Phyt-B";0;NA;49300.048828125;"mg/m³";"Pending review"
"GRC00059";"2013-05-20";"12:00";0.3;"Phyt-B";0;NA;63.421823084354;"mg/m³";"Pending review"
"GRC00059";"2013-06-11";"12:00";0.3;"Phyt-B";0;NA;286.027312278748;"mg/m³";"Pending review"
"GRC00060";"2013-06-12";"12:00";0.3;"Phyt-B";0;NA;0.596950587351;"mg/m³";"Fair"
"GRC00060";"2013-07-24";"12:00";0.3;"Phyt-B";0;NA;35.284627228975;"mg/m³";"Pending review"
"GRC00060";"2013-08-20";"12:00";0.3;"Phyt-B";0;NA;6.49339100346;"mg/m³";"Fair"
"GRC00060";"2013-09-25";"12:00";0.3;"Phyt-B";0;NA;27.274547144771;"mg/m³";"Pending review"
"GRC00060";"2014-06-17";"12:00";0.3;"Phyt-B";0;NA;35.569354891777;"mg/m³";"Pending review"
"GRC00060";"2014-07-15";"12:00";0.3;"Phyt-B";0;NA;27.609312906861;"mg/m³";"Pending review"
"GRC00060";"2014-08-21";"12:00";0.3;"Phyt-B";0;NA;26.281509548426;"mg/m³";"Pending review"
"GRC00060";"2014-09-03";"12:00";0.3;"Phyt-B";0;NA;30.105337500572;"mg/m³";"Pending review"
"GRC00060";"2015-06-10";"12:00";0.3;"Phyt-B";0;NA;67.016109824181;"mg/m³";"Pending review"
"GRC00060";"2015-07-22";"12:00";0.3;"Phyt-B";0;NA;31.830482184887;"mg/m³";"Pending review"
"GRC00060";"2015-08-19";"12:00";0.3;"Phyt-B";0;NA;58.483574539423;"mg/m³";"Pending review"
"GRC00060";"2015-09-16";"12:00";0.3;"Phyt-B";0;NA;50.629433244467;"mg/m³";"Pending review"
"GRC00060";"2015-10-07";"12:00";0.3;"Phyt-B";0;NA;27.278650552034;"mg/m³";"Pending review"
"GRC00060";"2019-06-06";"12:00";0.3;"Phyt-B";0;NA;34.0257845819;"mg/m³";"Pending review"
"GRC00060";"2019-06-10";"12:00";0.3;"Phyt-B";0;NA;29.999999329448;"mg/m³";"Pending review"
