"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"CAN00147";"2013-12-10";"12:33";0.3;"Sal";"VMV_10353";"";0.17;"ppt";"Fair"
"CAN00147";"2016-02-15";"09:35";0.3;"Sal";"VMV_923";"<";1;"psu";"Fair"
"CAN00154";"2008-11-12";"10:25";0.3;"Sal";"VMV_3612";"";0.08;"---";"Fair"
"CAN00154";"2009-05-20";"10:40";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2009-10-28";"10:00";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2010-04-26";"00:00";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2010-05-17";"03:00";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2010-11-08";"14:15";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2011-05-09";"16:00";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2011-05-30";"15:00";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2011-06-13";"14:30";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2012-05-02";"09:00";0.3;"Sal";"VMV_10353";"";0.09;"ppt";"Fair"
"CAN00154";"2012-05-02";"09:00";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2012-05-16";"09:45";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2012-12-12";"10:00";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2012-12-19";"10:00";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2013-04-17";"10:00";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2013-05-01";"10:00";0.3;"Sal";"VMV_3612";"";0.09;"---";"Fair"
"CAN00154";"2013-06-12";"09:30";0.3;"Sal";"VMV_3612";"";0.1;"---";"Fair"
"CAN00154";"2013-07-31";"07:15";0.3;"Sal";"VMV_10353";"";0.09;"ppt";"Fair"
"CAN00154";"2013-08-07";"11:00";0.3;"Sal";"VMV_10353";"";0.09;"ppt";"Fair"
"CAN00154";"2013-08-21";"09:30";0.3;"Sal";"VMV_10353";"";0.1;"ppt";"Fair"
"CAN00154";"2013-09-04";"10:00";0.3;"Sal";"VMV_10353";"";0.1;"ppt";"Fair"
"CAN00154";"2013-09-18";"09:30";0.3;"Sal";"VMV_10353";"";0.11;"ppt";"Fair"
"CAN00154";"2013-10-09";"09:30";0.3;"Sal";"VMV_10353";"";0.11;"ppt";"Fair"
"CAN00154";"2013-10-23";"09:40";0.3;"Sal";"VMV_10353";"";0.13;"ppt";"Fair"
"CAN00154";"2013-11-06";"10:00";0.3;"Sal";"VMV_10353";"";0.11;"ppt";"Fair"
"CAN00154";"2013-11-27";"09:45";0.3;"Sal";"VMV_10353";"";0.1;"ppt";"Fair"
"CAN00154";"2013-12-04";"10:15";0.3;"Sal";"VMV_10353";"";0.1;"ppt";"Fair"
"CAN00154";"2014-01-15";"00:00";0.3;"Sal";"VMV_10353";"";0.09;"ppt";"Fair"
"CAN00154";"2014-01-29";"10:00";0.3;"Sal";"VMV_10353";"";0.1;"ppt";"Fair"
"CAN00154";"2014-02-12";"10:00";0.3;"Sal";"VMV_10353";"";0.11;"ppt";"Fair"
