"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"BEL00081";"2019-01-28";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-02-25";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-03-26";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-04-24";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-05-23";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-06-25";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-07-24";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-08-26";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-09-24";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-10-22";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-11-25";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2019-12-09";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-01-23";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-02-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-03-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-04-09";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-05-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-06-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-07-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-08-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-09-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-10-22";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-11-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00081";"2020-12-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00082";"2018-01-10";"12:00";0.3;"Ti-Tot";"0";"";0.174;"µg/l";"Fair"
"BEL00082";"2018-02-07";"12:00";0.3;"Ti-Tot";"0";"";0.174;"µg/l";"Fair"
"BEL00082";"2018-03-07";"12:00";0.3;"Ti-Tot";"0";"";0.174;"µg/l";"Fair"
"BEL00082";"2018-04-04";"12:00";0.3;"Ti-Tot";"0";"";0.174;"µg/l";"Fair"
"BEL00082";"2018-05-02";"12:00";0.3;"Ti-Tot";"0";"";0.174;"µg/l";"Fair"
"BEL00082";"2018-05-30";"12:00";0.3;"Ti-Tot";"0";"";0.083;"µg/l";"Fair"
"BEL00082";"2018-06-27";"12:00";0.3;"Ti-Tot";"0";"";0.197;"µg/l";"Fair"
"BEL00082";"2018-07-25";"12:00";0.3;"Ti-Tot";"0";"";0.058;"µg/l";"Fair"
"BEL00082";"2018-08-22";"12:00";0.3;"Ti-Tot";"0";"";0.08;"µg/l";"Fair"
"BEL00082";"2018-09-19";"12:00";0.3;"Ti-Tot";"0";"";0.101;"µg/l";"Fair"
"BEL00082";"2018-10-17";"12:00";0.3;"Ti-Tot";"0";"";0.086;"µg/l";"Fair"
"BEL00082";"2018-11-21";"12:00";0.3;"Ti-Tot";"0";"";0.109;"µg/l";"Fair"
"BEL00082";"2018-12-12";"12:00";0.3;"Ti-Tot";"0";"";0.225;"µg/l";"Fair"
"BEL00082";"2019-01-09";"12:00";0.3;"Ti-Tot";"0";"";0.161;"µg/l";"Fair"
"BEL00082";"2019-02-06";"12:00";0.3;"Ti-Tot";"0";"";0.222;"µg/l";"Fair"
"BEL00082";"2019-03-06";"12:00";0.3;"Ti-Tot";"0";"";0.098;"µg/l";"Fair"
"BEL00082";"2019-04-03";"12:00";0.3;"Ti-Tot";"0";"";0.101;"µg/l";"Fair"
"BEL00082";"2019-05-02";"12:00";0.3;"Ti-Tot";"0";"";0.094;"µg/l";"Fair"
"BEL00082";"2019-05-28";"12:00";0.3;"Ti-Tot";"0";"";0.15;"µg/l";"Fair"
"BEL00082";"2019-06-26";"12:00";0.3;"Ti-Tot";"0";"";0.079;"µg/l";"Fair"
"BEL00082";"2019-07-24";"12:00";0.3;"Ti-Tot";"0";"";0.123;"µg/l";"Fair"
"BEL00082";"2019-08-21";"12:00";0.3;"Ti-Tot";"0";"";0.103;"µg/l";"Fair"
"BEL00082";"2019-09-18";"12:00";0.3;"Ti-Tot";"0";"";0.111;"µg/l";"Fair"
"BEL00082";"2019-10-16";"12:00";0.3;"Ti-Tot";"0";"";0.106;"µg/l";"Fair"
"BEL00082";"2019-11-13";"12:00";0.3;"Ti-Tot";"0";"";0.209;"µg/l";"Fair"
"BEL00082";"2019-12-11";"12:00";0.3;"Ti-Tot";"0";"";0.115;"µg/l";"Fair"
"BEL00082";"2020-01-07";"12:00";0.3;"Ti-Tot";"0";"";0.107;"µg/l";"Fair"
"BEL00082";"2020-02-04";"12:00";0.3;"Ti-Tot";"0";"";0.245;"µg/l";"Fair"
"BEL00082";"2020-03-03";"12:00";0.3;"Ti-Tot";"0";"";0.145;"µg/l";"Fair"
"BEL00082";"2020-03-31";"12:00";0.3;"Ti-Tot";"0";"";0.083;"µg/l";"Fair"
"BEL00082";"2020-04-29";"12:00";0.3;"Ti-Tot";"0";"";0.082;"µg/l";"Fair"
"BEL00082";"2020-05-26";"12:00";0.3;"Ti-Tot";"0";"";0.071;"µg/l";"Fair"
"BEL00082";"2020-06-23";"12:00";0.3;"Ti-Tot";"0";"";0.103;"µg/l";"Fair"
"BEL00082";"2020-07-22";"12:00";0.3;"Ti-Tot";"0";"";0.12;"µg/l";"Fair"
"BEL00082";"2020-08-18";"12:00";0.3;"Ti-Tot";"0";"";0.098;"µg/l";"Fair"
"BEL00082";"2020-09-15";"12:00";0.3;"Ti-Tot";"0";"";0.108;"µg/l";"Fair"
"BEL00082";"2020-10-13";"12:00";0.3;"Ti-Tot";"0";"";0.119;"µg/l";"Fair"
"BEL00082";"2020-11-09";"12:00";0.3;"Ti-Tot";"0";"";0.122;"µg/l";"Fair"
"BEL00082";"2020-12-08";"12:00";0.3;"Ti-Tot";"0";"";0.117;"µg/l";"Fair"
"BEL00082";"2021-01-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00082";"2021-02-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00082";"2021-03-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00082";"2021-03-30";"12:00";0.3;"Ti-Tot";"0";"";0.051;"µg/l";"Fair"
"BEL00082";"2021-04-29";"12:00";0.3;"Ti-Tot";"0";"";0.128;"µg/l";"Fair"
"BEL00082";"2021-05-26";"12:00";0.3;"Ti-Tot";"0";"";0.098;"µg/l";"Fair"
"BEL00082";"2021-06-22";"12:00";0.3;"Ti-Tot";"0";"";0.096;"µg/l";"Fair"
"BEL00082";"2021-08-17";"12:00";0.3;"Ti-Tot";"0";"";0.121;"µg/l";"Fair"
"BEL00082";"2021-09-14";"12:00";0.3;"Ti-Tot";"0";"";0.057;"µg/l";"Fair"
"BEL00082";"2021-10-12";"12:00";0.3;"Ti-Tot";"0";"";0.083;"µg/l";"Fair"
"BEL00082";"2021-11-09";"12:00";0.3;"Ti-Tot";"0";"";0.44;"µg/l";"Fair"
"BEL00082";"2021-12-07";"12:00";0.3;"Ti-Tot";"0";"";0.29;"µg/l";"Fair"
"BEL00083";"2019-01-09";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-02-06";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-03-06";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-04-03";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-05-02";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-06-26";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-07-24";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-08-21";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-09-18";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-10-16";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-11-13";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2019-12-11";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-01-07";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-02-04";"12:00";0.3;"Ti-Tot";"0";"";2.9;"µg/l";"Fair"
"BEL00083";"2020-03-03";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-04-29";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-05-26";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-06-23";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-07-22";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-08-18";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-09-15";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-10-13";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-11-09";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2020-12-08";"12:00";0.3;"Ti-Tot";"0";"";2;"µg/l";"Fair"
"BEL00083";"2021-01-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-02-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-03-02";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-04-29";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-05-26";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-06-22";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-08-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-09-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-10-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-11-09";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00083";"2021-12-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-01-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-02-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-03-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-04-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-05-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-06-06";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-07-04";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-08-08";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-09-05";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-10-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-11-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2018-12-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-01-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-02-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-03-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-04-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-05-08";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-06-05";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-07-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-08-07";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-09-04";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-10-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-11-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2019-12-11";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-01-22";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-02-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-03-18";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-04-08";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-07-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-08-12";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-09-09";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-10-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-11-18";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2020-12-09";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-01-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-02-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-03-17";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-04-21";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-05-19";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-06-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-07-14";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-08-18";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-09-22";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-10-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-11-24";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00084";"2021-12-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-01-16";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-02-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-03-20";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-04-10";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-05-15";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-06-05";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
"BEL00086";"2018-07-03";"12:00";0.3;"Ti-Tot";"0";"";4;"µg/l";"Fair"
